Sr. No.,Scrip Code,Name of Company,TICKER
832,505192,SML ISUZU LIMITED,SMLISUZU
833,500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSL
834,539542,LUX Industries Limited,LUXIND
835,500148,Uflex Limited,UFLEX
836,530843,Cupid Limited,CUPID
837,526881,63 Moons Technologies Limited,63MOONS
838,512329,SG MART LIMITED,SGMART
839,505710,Grauer & Weil (India) Ltd.,GRAUWEIL
840,532406,Avantel Limited,AVANTEL
841,532440,MPS Limited,MPS
842,544545,TRUALT BIOENERGY LIMITED,TRUALT
843,544314,Sanathan Textiles Limited,SANATHAN
844,543212,Borosil Limited,BOROSIL
845,540701,Dishman Carbogen Amcis Limited,DCAL
846,543242,Hemisphere Properties India Limited,HPIL
847,542665,Neogen Chemicals Limited,NEOGEN
848,500243,Kirloskar Industries Ltd,KIRLOSIN
849,544490,Shreeji Shipping Global Limited,SHREEJI
850,544587,Midwest Limited,MIDWEST
851,522034,Shanthi Gears Ltd.,SHANTIGEAR
852,543387,S.J.S. Enterprises Limited,SJS
853,506854,TANFAC Industries Ltd.,TANFAC
854,538268,Wonderla Holidays Limited,WONDERLA
855,506879,Gujarat Themis Biosyn Ltd.,GUJTHEM
856,532029,Sindhu Trade Links Limited,SINDHUTL
857,526729,Goldiam International Ltd.,GOLDIAM
858,541336,IndoStar Capital Finance Limited,INDOSTAR
859,531266,V.S.T.Tillers Tractors Ltd.,VSTTILLERS
860,544525,GK ENERGY LIMITED,GKENERGY
861,544396,Network People Services Technologies Limited,NPST
862,519156,Vadilal Industries Ltd.,VADILALIND
863,544260,Northern Arc Capital Ltd.,NORARC
864,532156,Vaibhav Global Ltd,VGL
865,533262,Ramky Infrastructure Limited,RAMKY
866,544455,GNG Electronics Limited,GNG
867,543325,Rolex Rings Limited,ROLEXRINGS
868,520057,JTEKT India Limited,JTEKTINDIA
869,524735,Hikal Ltd.,HIKAL
870,506690,Unichem Laboratories Ltd.,UNICHEMLAB
871,526797,Greenply Industries Ltd,GREENPLY
872,532983,RPG Life Sciences Limited,RPGLIFE
873,532407,MOSCHIP TECHNOLOGIES LIMITED,MOSCHIP
874,526433,ASM Technologies Ltd.,ASMTECH
875,503101,Marathon Nextgen Realty Ltd,MARATHON
876,520051,Jamna Auto Industries Ltd.,JAMNAAUTO
877,500219,Jain Irrigation Systems Ltd.,JISLDVRS
878,532799,Hubtown Limited,HUBTOWN
879,524372,Orchid Pharma Limited,ORCHIDPHAR
880,544021,Protean eGov Technologies Limited,PROTEAN
881,513262,Steel Strips & Wheels Ltd,SSWL
882,543213,ROSSARI BIOTECH LIMITED,ROSSARI
883,500235,Kalyani Steels Ltd,KSL
884,544088,Medi Assist Healthcare Services Limited,MEDIASSIST
885,531719,Bhagiradha Chemicals and Industries,BHAGCHEM
886,509079,Gufic BioSciences Ltd.,GUFICBIO
887,543600,Harsha Engineers International Limited,HARSHA
888,542597,MSTC Limited,MSTC
889,532256,Nalwa Sons Investment Ltd,NSIL
890,523319,Balmer Lawrie & Co. Ltd.,BALMLAWRIE
891,513349,Ajmera Realty & Infra India Limited,AJMERA
892,540725,Share India Securities Limited,SHAREINDIA
893,543933,Cyient DLM Limited,CYIENTDLM
894,542907,Prince Pipes and Fittings Limited,PRINCEPIPE
895,533644,Ujaas Energy Limited,UJAAS
896,513519,PITTI ENGINEERING LIMITED,PITTIENG
897,532924,Kolte-Patil Developers Ltd,KOLTEPATIL
898,530655,Goodluck India Limited,GOODLUCK
899,514167,Ganesha Ecosphere Limited,GANESHEC
900,540025,Advanced Enzyme Technologies Limited,ADVENZYMES
901,524051,Polyplex Corporation Ltd.,POLYPLEX
902,517544,Centum Electronics Ltd,CENTUM
903,517206,Lumax Industries Ltd.,LUMAXIND
904,544430,SAMBHV STEEL TUBES LIMITED,SAMBHAV
905,544333,STANDARD GLASS LINING TECHNOLOGY LIMITED,SGL
906,539056,IMAGICAAWORLD ENTERTAINMENT LIMITED,IMAGICAA
907,543272,Easy Trip Planners Limited,EASEMYTRIP
908,544095,EPACK Durable Limited,EPACK
909,544232,Interarch Building Solutions Limited,INTERARCH
910,503960,Bharat Bijlee Ltd.,BHARATBIJ
911,544161,D P ABHUSHAN LIMITED,DPABHUSHAN
912,542919,Artemis Medicare Services Limited,ARTEMIS
913,542857,Greenpanel Industries Limited,GREENPANEL
914,500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING
915,544261,ARKADE DEVELOPERS LIMITED,ARKADE
916,516072,Vishnu Chemicals Limited,VISHNU
917,544402,JASH ENGINEERING LIMITED,JASH
918,531120,Patel Engineering Ltd,PATELENG
919,513228,Pennar Industries Ltd.,PENIND
920,544111,Apeejay Surrendra Park Hotels Limited,PARKHOTELS
921,532967,KIRI INDUSTRIES LIMITED,KIRIINDUS
922,517467,MARSONS LIMITED,MARSONS
923,508989,Navneet Education Limited,NAVNETEDUL
924,500150,Foseco India Ltd,FOSECOIND
925,544379,Prabha Energy Limited,PRABHA
926,540136,HPL Electric & Power Limited,HPL
927,523301,TCPL Packaging Limited,TCPLPACK
928,523539,Precision Wires India ltd.,PRECWIRE
929,500444,West Coast Paper Mills Limited,WCP
930,532749,Allcargo Logistics Ltd,ALLCARGO
931,539450,S H Kelkar and Company Limited,SHK
932,543983,EMS LIMITED,EMS
933,532054,KDDL Ltd,KDDL
934,543489,Gateway Distriparks Limited,GATEWAY
935,532732,Kewal Kiran Clothing Ltd.,KKCL
936,502090,Sagar Cements Ltd,SAGCEM
937,544457,Brigade Hotel Ventures Limited,BRIGADEHV
938,539658,TeamLease Services Limited,TEAMLEASE
939,544355,Jubilant Agri and Consumer Products Limited,JACPL
940,544030,Flair Writing Industries Limited,FLAIR
941,512008,EFC (I) LIMITED,EFCI
942,500215,SUNDROP BRANDS LIMITED,SDBL
943,500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG
944,523716,Ashiana Housing Limited,ASHIANA
945,503811,Siyaram Silk Mills Ltd.,SIYSIL
946,533104,Globus Spirits Limited,GLOBUSSPR
947,543547,DDEV PLASTIKS INDUSTRIES LIMITED,DDEVPLAST
948,539837,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,RAGHAV
949,500730,NOCIL Ltd,NOCIL
950,500288,Morepen Laboratories Ltd.,MOREPENLAB
951,522215,HLE GLASCOAT LIMITED,HLEGLAS
952,539686,K.P. Energy Limited,KPIL
953,543650,DCX Systems Limited,DCX
954,543288,Deep Industries Limited,DEEPIND
955,532900,PAISALO DIGITAL LIMITED,PAISALO
956,544413,Digitide Solutions Limited,DIGITIDE
957,544530,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,ANANDRATHI
958,517300,Gujarat Industries Power Co. Ltd,GIPCL
959,533229,BAJAJ CONSUMER CARE LIMITED,BAJAJCON
960,522281,Ram Ratna Wires Ltd.,RAMRATNA
961,532626,Pondy Oxides & Chemicals Limited,PONTYOXIDE
962,506022,Prakash Industries Ltd.,PRAKASH
963,539301,Arvind SmartSpaces Limited,ARVSMART
964,526247,Premier Explosives Ltd.,PREMIEREXPL
965,540768,Mahindra Logistics Limited,MAHLOG
966,526951,Stylam Industries Limited,STYLAMIND
967,513097,Shivalik Bimetal Controls Ltd.,SBCL
968,500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND
969,542333,RPSG VENTURES LIMITED,RPSGVENT
970,514446,LS Industries Limited,LSIND
971,532430,BF Utilities Ltd.,BFUTILITIE
972,544319,SENORES PHARMACEUTICALS LIMITED,SENORES
973,532486,Pokarna Ltd.,POKARNA
974,532722,Nitco Ltd.,NITCO
975,500412,Thirumalai Chemicals Ltd.,TIRUMALCHM
976,514440,Blue Pearl Agriventures Limited,BLUEPEARL
977,540544,PSP Projects Limited,PSPPROJECT
978,543652,FUSION FINANCE LIMITED,FUSION
979,539889,Parag Milk Foods Limited,PARAGMILK
980,533333,Fineotex Chemical Limited,FCL
981,501421,TechNVision Ventures Limited,TNVL
982,541163,Sandhar Technologies Limited,SANDHAR
983,500108,Mahanagar Telephone Nigam Ltd.,MTNL
984,500414,Timex Group India Ltd,TIMEX
985,541540,SOLARA ACTIVE PHARMA SCIENCES LIMITED,SOLARA
986,531209,Nucleus Software Exports Ltd,NUCLEUS
987,522064,HONDA INDIA POWER PRODUCTS LIMITED,HONDAIND
988,522029,Windsor Machines Limited,WINDMACHIN
989,500191,HMT Limited,HMT
990,543528,Venus Pipes & Tubes Limited,VENUSPIPES
991,505744,Federal-Mogul Goetze (India) Ltd,FMGOETZE
992,524667,Savita Oil Technologies Limited,SOTL
