Sr. No.,Scrip Code,Name of Company,TICKER
1213,532880,OMAXE LIMITED,OMAXE
1214,531179,Arman Financial Services Limited,ARMANFIN
1215,543923,IKIO Technologies Limited,IKIO
1216,506194,Arihant Superstructures Limited,ARIHANTS
1217,522241,M.M.Forgings Ltd.,MMFORGINGS
1218,530475,Tinna Rubber and Infrastructure Limited,TINNA
1219,500304,NIIT Ltd.,NIITLTD
1220,533552,RUPA & COMPANY LIMITED,RUPA
1221,544239,ECOS (India) Mobility & Hospitality Limited,ECOS
1222,522261,Dolphin Offshore Enterprises (India) ltd.,DOLPHIN
1223,544293,SURAKSHA DIAGNOSTIC LIMITED,SURAKSHA
1224,517500,Roto Pumps Ltd.,ROTOPUMPS
1225,544459,SHANTI GOLD INTERNATIONAL LIMITED,SHANTIGOLD
1226,517380,Igarashi Motors India Ltd.,IGARASHI
1227,533263,Orient Green Power Company Limited,ORISSAAGRO
1228,542866,COLAB PLATFORMS LIMITED,COLAB
1229,509675,BIRLANU LIMITED,BIRLANU
1230,526570,Midwest Gold Ltd,MIDWEST
1231,524669,Hester Biosciences Ltd,HESTERBIO
1232,543929,HMA Agro Industries Limited,HMAAGRO
1233,506197,Bliss GVS Pharma Limited,BLISSGVS
1234,544020,ESAF Small Finance Bank Ltd,ESAFSFB
1235,532705,Jagran Prakashan Limited,JAGRAN
1236,514448,Jyoti Resins & Adhesives Ltd,JYOTIRES
1237,505526,DOLAT ALGOTECH LIMITED,DOLAT
1238,530555,Paramount Communications Ltd.,PARACOMM
1239,544037,Amic Forging Limited,AMIC
1240,533761,GPT Infraprojects limited,GPTINFRA
1241,504000,Elpro International Ltd.,ELPROINTL
1242,502330,ANDHRA PAPER LIMITED,ANDHRA
1243,507789,Jagsonpal Pharmaceuticals Limited,JAGSNPAL
1244,543419,Shriram Properties Limited,SHRIRAMP
1245,539921,Shanti Educational Initiatives Limited,SHANTI
1246,508954,Finkurve Financial Services Limited,FINK
1247,517059,Salzer Electronics Ltd.,SALZERELEC
1248,539872,Bajaj Healthcare Limited,BAJAJHCARE
1249,530307,Chaman Lal Setia Exports Ltd.,CHAMAN
1250,543263,SMC Global Securities Limited,SMCGLOBAL
1251,532684,Everest Kanto Cylinders Ltd.,EKC
1252,544134,Platinum Industries Limited,PLATIND
1253,544029,Gandhar Oil Refinery (India) Limited,GANDHAR
1254,512267,Media Matrix Worldwide Ltd.,MMWL
1255,543389,Sigachi Industries Limited,SIGACHI
1256,532719,B L Kashyap and Sons Ltd,BLKASHYAP
1257,500650,Excell Industries Ltd.,EXCELINDUS
1258,523475,Lotus Chocolate Co. Ltd.,LOTUSCHOCO
1259,512020,Saraswati Commercial (India) Ltd.,SARASCOM
1260,544534,Jaro Institute of Technology Management and Research Limited,JITMR
1261,506618,Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM
1262,544523,IVALUE INFOSOLUTIONS LIMITED,IVALUE
1263,543590,Rhetan TMT Limited,RHETAN
1264,544271,Garuda Construction and Engineering Limited,GARUDA
1265,523862,GRAND OAK CANYONS DISTILLERY LIMITED,GRAND
1266,544054,Suraj Estate Developers Limited,SURAJEST
1267,544235,Orient Technologies Limited,ORIENTTECH
1268,523369,DCM Shriram Industries Ltd.,DCMSRMIND
1269,530699,Raj Rayon Industries Limited,RAJRAYON
1270,543953,Khazanchi Jewellers Limited,KHAZANCHI
1271,506685,Ultramarine & Pigments Ltd.,ULTRAMAR
1272,530355,ASIAN ENERGY SERVICES LTD,AEN
1273,501150,Centrum Capital Limited,CENTURY
1274,540642,Salasar Techno Engineering Limited,SALASAR
1275,543279,Suryoday Small Finance Bank Limited,SURYODAY
1276,532633,Alldigi Tech Limited,ALLDIGI
1277,530879,CAPITAL INDIA FINANCE LIMITED,CIFL
1278,539682,LUCENT INDUSTRIES LIMITED,LUCENT
1279,539221,Sportking India Ltd.,SPORTKING
1280,542774,MUFIN GREEN FINANCE LIMITED,MUFIN
1281,531147,Alicon Castalloy Limited,ALICON
1282,526173,Andrew Yule & Company Ltd,ANDREW
1283,543766,Ashika Credit Capital Ltd.,ASHIKA
1284,531921,Agarwal Industrial Corporation Limited,AGARWALIND
1285,500199,IG Petrochemicals Ltd,IGPL
1286,544227,UNICOMMERCE ESOLUTIONS LIMITED,UNICOMMERCE
1287,543517,Hariom Pipe Industries Limited,HARIOMPIPE
1288,523445,Reliance Industrial Infrastructure,RIIL
1289,507410,Walchandnagar Industries Ltd,WALCHANNAG
1290,540124,G N A Axles Limited,GNA
1291,532850,MIC Electronics Limited,MIC
1292,544492,MANGAL ELECTRICAL INDUSTRIES LIMITED,MANGAL
1293,500207,Indo Rama Synthetics (India) Ltd.,INDOSTAR
1294,544279,Godavari Biorefineries Limited,GODAVARI
1295,544491,Gem Aromatics Limited,GEM
1296,530079,Faze Three Ltd.,FAZETHREE
1297,506390,Heubach Colorants India Limited,HEUBACH
1298,502137,Deccan Cements Ltd.,DECCANCEM
1299,544395,STL Networks Limited,STL
1300,526608,Electrotherm (India) Ltd,ELECTRO
1301,522108,Yuken India Ltd.,YUKEN
1302,522073,The Hi-Tech Gears Limited,HITECHGEAR
1303,544120,Capital Small Finance Bank Ltd,CAPSFB
1304,539469,PANORAMA STUDIOS INTERNATIONAL LIMITED ,PANORAMA
1305,531795,Atul Auto Limited,ATULAUTO
1306,509152,GRP Limited,GRP
1307,532067,3B BlackBio Dx Limited,3BB
1308,543977,Rishabh Instruments Limited,RISHABH
1309,532365,Dynacons Systems & Solutions Ltd.,DYNACONS
1310,533257,INDOSOLAR LIMITED,INDOSOLAR
1311,539799,Bharat Wire Ropes Limited,BWR
1312,544184,Borosil Scientific Limited,BOROSILSC
1313,517421,Butterfly Gandhimathi Appliances Limited,BUTTERFLY
1314,532923,RENAISSANCE GLOBAL LIMITED,RGL
1315,543597,Virtuoso Optoelectronics Limited,VIRTUOSO
1316,543266,Heranba Industries Limited,HERANBA
1317,507944,Bajaj Steel Industries Ltd.,BAJAJSTL
1318,540602,GTPL Hathway Limited,GTPL
1319,538836,Monte Carlo Fashions Limited,MONTECARLO
1320,544419,ArisInfra Solutions Limited,ARISINFRA
1321,534369,Tribhovandas Bhimji Zaveri Limited,TBZ
1322,544131,GPT Healthcare Limited,GPTHEALTH
1323,544117,Signpost India Limited,SIGNPOST
1324,523708,EIMCO Elecon India Ltd.,EIMCO
1325,532930,BGR ENERGY SYSTEMS LIMITED,BGRENERGY
1326,543920,CFF FLUID CONTROL LIMITED,CFFFLUID
1327,544536,Wealth First Portfolio Managers Limited,WFPM
1328,505400,Texmaco Infrastructure & Holdings Ltd,TEXINFRA
1329,500439,Vardhman Holdings Limited,VHL
1330,543619,Concord Control Systems Limited,CONCORD
1331,502180,Shree Digvijay Cement Co. Ltd.,SHREDIGCEM
1332,509438,Benares Hotels Ltd,BENARES
1333,506248,Amines & Plasticizers Ltd,AMINESPL
1334,533156,Vascon Engineers Limited,VASCONEQ
1335,544264,Diffusion Engineers Limited,DIFFENG
1336,519602,Kellton Tech Solutions Ltd.,KELLTONTEC
1337,539046,Manaksia Coated Metals & Industries Ltd,MANAKCOAT
1338,544004,IRM ENERGY LIMITED,IRMENERGY
1339,539289, Aurum PropTech Limited,AURUM
1340,508933,AYM Syntex Limited,AYMSYNTEX
1341,544310,Yash Highvoltage Limited,YASHHIGH
1342,524332,BCL INDUSTRIES LIMITED,BCLIND
1343,500078,ORIENTAL AROMATICS LIMITED,ORIENTAL
1344,543928,Cosmic CRF Limited,COSMIC
1345,544342,Stallion India Fluorochemicals Limited,STALLION
1346,523736,Dhunseri Ventures Limited,DHUNINV
1347,544414,Bluspring Enterprises Limited,BLUSPRING
1348,522295,Control Print (India) Ltd.,CONTROLPR
1349,544253,Kross Limited,KROSS
1350,507753,TGV SRAAC LIMITED,TGVSL
1351,539607,Blue Cloud Softech Solutions Limited,BCSSL
1352,530759,Sterling Tools Ltd.,STERTOOLS
1353,540718,AAYUSH ART AND BULLION LIMITED,AAYUSH
1354,532864,Nelcast Limited,NELCAST
1355,532699,Royal Orchid Hotels Ltd,ROYLORCHID
1356,544364,Indef Manufacturing Limited,INDEF
1357,544258,Western Carriers (India) Limited,WESTERN
1358,538668,Meghna Infracon Infrastructure Limited,MEGHNA
1359,505036,Automobile Corpn. of Goa Ltd.,AUTOMOBILES
1360,531847,Asian Star Co. Ltd.,ASIANST
1361,532382,Balaji Telefilms Ltd.,BALAJITELE
1362,540776,5paisa Capital Limited,5PAISA
1363,531637,PRAVEG LIMITED,PRAVEG
1364,530643,Eco Recycling Limited,ECORP
1365,531092,OM INFRA LIMITED,OMINFR
1366,531381,Arihant Foundations & Housing Ltd.,ARIHANT
1367,544528,Ganesh Consumer Products Limited,GANESHCP
1368,530927,Haryana Financial Corporation ltd.,HFC
1369,543644,InfoBeans Technologies Limited,INFOBEANS
1370,534748,Steel Exchange India Ltd.,SEIL
1371,500136,Ester Industries Ltd.,ESTER
1372,540980,The Yamuna Syndicate Ltd ,YAMUNA
1373,530199,Themis Medicare Ltd.,THEMIS
1374,523207,Kokuyo Camlin Ltd,KOKUYOCMLN
1375,544315,Concord Enviro Systems Limited,CONCORD
1376,539334,Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK
1377,500268,Manali Petrochemicals Ltd.,MANALIPETC
1378,502175,Saurashtra Cement Limited,SAURASHCEM
1379,539785,Pudumjee Paper Products Limited,PDMJEPAPER
1380,532888,ASIAN GRANITO INDIA LIMITED,ASIANTILES
1381,544448,Pashupati Cotspin Limited,PASHUPATI
1382,542669,BMW INDUSTRIES LIMITED,BMW
1383,540704,Matrimony.com Limited,MATRIMONY
1384,520008,RICO Auto Industries Ltd.,RICOAUTO
1385,543252,Fairchem Organics Limited,FAIRCHEMOR
1386,543712,ABANS FINANCIAL SERVICES LIMITED,ABANSENT
1387,531633,Lincoln Pharmaceuticals ltd.,LINCOLN
1388,520073,RACL Geartech Limited,RACLGEAR
1389,531426,Tamil Nadu Newsprint And Papers Ltd,TNPL
1390,532180,Dhanlaxmi Bank Limited,DHANBANK
1391,524520,KMC Speciality Hospitals India Limited,KMCSHIL
1392,543283,UNITED FOODBRANDS LIMITED,UFBL
1393,500317,Oswal Agro Mills Ltd.,OSWALAGRO
1394,503031,Peninsula Land Limited,PENINLAND
1395,511413,CREST VENTURES LIMITED,CREST
1396,544158,SRM CONTRACTORS LIMITED,SRM
1397,544410,PROSTARM INFO SYSTEMS LIMITED,PROSTARM
1398,534742,ZUARI AGRO CHEMICALS LIMITED,ZUARI
1399,539290,Oswal Greentech Limited,OSWALGREEN
1400,501298,Industrial & Prudential Inv. Co. Lt,INDPRUD
1401,544411,Scoda Tubes Limited,SCODATUBES
1402,544281,A B INFRABUILD LIMITED,ABINFRA
1403,500429,Uniphos Enterprises Limited.,UNIENTER
1404,544318,MAMATA MACHINERY LIMITED,MAMATA
1405,531859,ORIENTAL RAIL INFRASTRUCTURE LIMITED,ORIENTALR
1406,500280,Century Enka Ltd.,CENTENKA
1407,540125,Radhika Jeweltech Limited,RADHIKAJ
1408,544244,Gala Precision Engineering Limited,GALA
1409,532457,Gulshan Polyols Ltd.,GULPOLY
1410,524648,Indo Amines Ltd.,INDOAMIN
1411,519105,AVT Natural Products Ltd.,AVTNPL
1412,532729,Uttam Sugar Mills Ltd,UTTAMSUGAR
1413,532051,Swelect Energy Systems Limited,SWELECTES
1414,543223, Max India Limited,MAXIND
1415,543995,MANOJ VAIBHAV GEMS 'N' JEWELLERS LIMITED,MVGJL
1416,543240,Likhitha Infrastructure Limited,LIKHITHA
1417,526666,Bhartiya International Ltd.,BHARTIYA
1418,540145,Valiant Organics Limited,VALIANT
1419,508807,IST Limited,IST
1420,530075,Antelopus Selan Energy Limited,SELAN
1421,532842,Sree Rayalaseema Hi-Strength Hypo Limited,SRHHL
1422,532624,Jindal Photo Limited,JINDALPHOT
1423,543687,Dharmaj Crop Guard Limited,DHARMAJ
1424,544485,REGAAL RESOURCES LIMITED,REGAAL
1425,511076,AEROFLEX ENTERPRISES LIMITED,AEROFLEX
1426,541269,Chemfab Alkalis Ltd,CHEMFAB
1427,515043,Saint-Gobain Sekurit India Ltd.,SGSIL
1428,532875,Allied Digital Services Limited,ADSL
1429,539997,Kwality Pharmaceuticals Limited,KPL
1430,532529,New Delhi Television Limited,NDTV
1431,532616,Xchanging Solutions Limited,XCHANGING
1432,539956,TAAL Enterprises Limited,TAAL
1433,531357,MERCURY EV-TECH LIMITED,MERCURYEV
1434,511431,Vakrangee Limited,VAKRANGEE
1435,522229,Taneja Aerospace & Aviation Ltd.,TANAA
1436,532937,Kuantum Papers Limited,KUANTUM
1437,534328,Hexa Tradex Limited,HEXATRADEX
